"Id","Food_item","Sodium_Content","GI","Veg_noVeg","Calories","Fats","Protein","Iron","Calcium","Sodium","Potassium","Carbohydrates","Fiber","Vitamin_D","Sugars"
"454004","Apple ","0","1","1","52","0","0","0.23","0","0","110","14.29","3.20","0","10.39"
"171705","Avocados","0","0","1","160","2.1","2","0.55","12","7","485","8.5","6.7","0","0.66"
"407274","Bananas","0","1","1","425","12.5","5","5.75","39","0","855","67.5","10","0","42.5"
"448025","Beef","1","0","0","300","10","12","2.16","40","880","0","2","0","0","2"
"464651","Chicken","1","0","0","103","0.44","6.47","0.53","24","344","171","15","1.8","0","2.35"
"482676","Salad","1","0","1","158","2.26","6.21","0.61","56","305","0","9.04","1.10","0","2.26"
"357559","Brown rice ","0","1","1","357","0","7.14","2.38","10","0","250","76.19","4.8","0","0"
"482606","CRISPY RICE BAR","1","1","0","510","10","4","0.72","0","150","100","60","8","0","24"
"483096","American Sanwich","1","1","0","267","6.67","14.67","0.96","333","693","0","28","6.70","0","5.33"
"359663","Corn Chips","1","1","0","571","8.93","3.57","1.29","143","643","429","57.14","3.6","0","0"
"359627","Corn ","1","1","1","72","0","1.6","0.58","0","240","0","16","1.6","0","4.8"
"359678","Cheddar Chess Medium","1","0","1","393","17.86","25","0","714","643","0","3.57","0","0","0"
"391518","Cereal","1","1","1","404","0.96","9.62","17.31","0","288","346","73.08","9.60","77","15.38"
"412760","Milk","0","0","0","96","2.08","2.92","0","104","50","0","12.92","0.10","42","12.08"
"480110","Cashew","1","0","1","579","7.14","17.86","6.43","36","307","0","28.57","3.60","0","3.57"
"480119","Peanut","1","0","1","500","3.57","17.86","1.29","71","536","0","53.57","10.70","0","10.71"
"393416","Pasta","1","1","1","371","0.71","14.29","1.54","86","743","0","71.43","2.90","0","12.86"
"393420","Jasmine Rice","0","1","1","346","0","7.69","0","0","0","48","76.92","1.90","0","0"
"362731","Pears","0","1","1","288","0","2.50","3.15","25","5","0","67.50","15","0","35"
"396135","Peas","1","1","1","56","0","3.20","1.15","16","240","0","9.60","2.40","0","4.80"
"359688","egg salad","1","0","0","164","2.73","9.09","1.64","55","609","0","11.82","0","0","7.27"
"480125","Beef Stew","1","0","0","76","1.48","4.42","0.46","8","411","0","6.78","0.40","0","0.85"
"396159","Sliced Carrots ","1","1","1","25","0","0.83","0","0","208","0","5","1.70","0","3.33"
"396166","Mushroom Pasta Sauce","1","1","1","65","0","1.61","0.65","24","411","387","10.48","2.40","0","6.45"
"396168","Spinach","1","0","1","21","0","1.67","1.50","33","317","0","3.33","1.70","0","0"
"396181","Thin Sphageti","0","1","1","357","0","12.50","3.21","0","0","0","73.21","3.60","0","3.57"
"395471","Mishima","1","0","0","143","0","0","0","0","18571","0","28.57","28.60","0","0"
"389046","Sour cream","1","0","1","200","11.67","3.33","0","120","133","160","6.67","0","0","3.33"
"388749","TOFU","0","0","1","49","0","4.40","0.79","66","16","0","1.10","0","0","0"
"388774","Honey ","0","1","0","141","5.29","4.12","0.21","118","41","0","14.12","0","59","12.35"
"396181","Mayo","0","0","1","357","0","12.50","3.21","0","0","0","73.21","3.60","0","3.57"
"395471","RASPBERRY VINAIGRETTE","1","1","1","143","0","0","0","0","18571","0","28.57","28.60","0","0"
"417496","Dark chocolate","1","0","1","500","19.05","4.76","3.43","48","190","0","45.24","4.80","0","38.10"
"417509","CHOCOLATE TRUFFLES","0","1","1","639","36.11","5.56","1","111","69","0","41.67","2.80","0","38.89"
"491807","POP CORN ","1","1","1","424","0","10.60","3.18","0","601","283","70.67","14.10","0","0"
"491828","PORK RIBS","1","0","0","211","3.11","13.66","0.67","12","503","0","18.63","0","0","17.39"
"491831","BARBEQUE GLAZED CHICKEN BREASTS","1","1","0","166","0.66","16.56","1.19","26","497","0","16.56","0.70","0","13.25"
"491886","ROASTED PEANUTS","1","0","1","571","7.14","25","2.57","0","750","0","25","10.70","0","3.57"
"491895","BEEF SUMMER SAUSAGE","1","0","0","357","16.07","12.50","1.93","0","875","0","1.75","0","0","1.79"
"476975","HAMBURGER PIZZA","1","0","0","245","3.40","7.48","1.84","102","245","0","31.97","1.40","0","2.04"
"491828","CREAM PORK RIBS","1","0","0","211","3.11","13.66","0.67","12","503","0","18.63","0","0","17.39"
"477110","ICE CREAM","0","0","0","260","9.59","4.11","4.93","137","75","151","31.51","1.40","0","27.40"
"477170","LEMON DROPS","0","0","1","353","0","0","0","0","0","0","100","0","0","70.59"
"477171","MILK CHOCOLATE CARAMEL POPCORN","1","1","0","525","17.50","5","1.80","150","200","0","65","2.50","0","55"
"477180","CAPPUCCINO MIX ","1","1","1","533","30","0","0","0","1133","0","60","0","0","33.33"
"477288","MUFFINS","1","1","1","404","4.26","4.26","0.64","32","362","106","57.45","0","0","34.04"
"477532","CHICKEN ENCHILADAS","1","0","0","124","1.24","5.45","0.71","50","332","0","16.83","1.50","0","1.98"
"477535","BLACK WALNUTS","0","0","1","633","3.33","26.67","3.60","67","0","0","13.33","6.70","0","0"
"477538","ROLLED TORTILLA CHIPS","1","1","1","500","5.36","60.71","1.29","143","679","0","60.71","3.60","0","3.57"
"477598","ALMONDS ","0","0","1","571","3.57","21.43","3.86","214","0","714","21.43","10.70","0","3.57"
